"CODE_002"	"CODE_001"	"CODE_NAME"	"CODE_TYPE"	"CODE_SORT"	"CODE_USEYN"	"CODE_UPDATE_SN"	"CODE_UPDATE_DATE"	"CODE_DESC"
"0"	"007"	"월요일"	""	0	0	1	"20180628000000"	""
"001"	"003"	"단어"	""	0	0	1	"20180628000000"	""
"001"	"004"	"인성"	""	0	0	1	"20180628000000"	""
"001"	"005"	"방문상담"	""	0	0	1	"20180628000000"	""
"002"	"003"	"단어 스펠링"	""	0	0	1	"20180628000000"	""
"002"	"004"	"발표력"	""	0	0	1	"20180628000000"	""
"002"	"005"	"기타"	""	0	0	1	"20180628000000"	""
"003"	"003"	"단어 뜻"	""	0	0	1	"20180628000000"	""
"003"	"004"	"면접"	""	0	0	1	"20180628000000"	""
"004"	"003"	"단어 예문"	""	0	0	1	"20180628000000"	""
"004"	"004"	"기타"	""	0	0	1	"20180628000000"	""
"005"	"004"	"취업"	""	0	0	1	"20180628000000"	""
"1"	"006"	"one.mp3"	""	0	0	1	"20180628000000"	""
"1"	"007"	"화요일"	""	0	0	1	"20180628000000"	""
"10"	"006"	"Ten.mp3"	""	0	0	1	"20180628000000"	""
"11"	"006"	"eleven.mp3"	""	0	0	1	"20180628000000"	""
"12"	"006"	"twelve.mp3"	""	0	0	1	"20180628000000"	""
"13"	"006"	"thirteen.mp3"	""	0	0	1	"20180628000000"	""
"14"	"006"	"fourteen.mp3"	""	0	0	1	"20180628000000"	""
"15"	"006"	"fifteen.mp3"	""	0	0	1	"20180628000000"	""
"16"	"006"	"sixteen.mp3"	""	0	0	1	"20180628000000"	""
"17"	"006"	"Seventeen.mp3"	""	0	0	1	"20180628000000"	""
"18"	"006"	"eighteen.mp3"	""	0	0	1	"20180628000000"	""
"2"	"006"	"two.mp3"	""	0	0	1	"20180628000000"	""
"2"	"007"	"수요일"	""	0	0	1	"20180628000000"	""
"3"	"006"	"Three.mp3"	""	0	0	1	"20180628000000"	""
"3"	"007"	"목요일"	""	0	0	1	"20180628000000"	""
"4"	"006"	"four.mp3"	""	0	0	1	"20180628000000"	""
"4"	"007"	"금요일"	""	0	0	1	"20180628000000"	""
"5"	"006"	"five.mp3"	""	0	0	1	"20180628000000"	""
"6"	"006"	"six.mp3"	""	0	0	1	"20180628000000"	""
"7"	"006"	"seven.mp3"	""	0	0	1	"20180628000000"	""
"8"	"006"	"eight.mp3"	""	0	0	1	"20180628000000"	""
"9"	"006"	"nine.mp3"	""	0	0	1	"20180628000000"	""
